fill,x,y,showSelected,PANEL,group
#F8766D,0.681260457334077,0.694805194805195,FC.Mariano Rivera,1,1
#F8766D,0.714723926380368,0.724321133412042,FC.Mariano Rivera,1,1
#F8766D,0.664528722810931,0.747933884297521,FC.Mariano Rivera,1,1
#F8766D,0.720301171221417,0.712514757969303,FC.Mariano Rivera,1,1
#F8766D,0.63106525376464,0.736127508854782,FC.Mariano Rivera,1,1
#F8766D,0.759341885108756,0.736127508854782,FC.Mariano Rivera,1,1
#F8766D,0.675683212493029,0.706611570247934,FC.Mariano Rivera,1,1
#F8766D,0.67010596765198,0.641676505312869,FC.Mariano Rivera,1,1
#F8766D,0.664528722810931,0.635773317591499,FC.Mariano Rivera,1,1
#F8766D,0.686837702175125,0.682998819362455,FC.Mariano Rivera,1,1
#F8766D,0.681260457334077,0.712514757969303,FC.Mariano Rivera,1,1
#F8766D,0.709146681539319,0.75383707201889,FC.Mariano Rivera,1,1
#F8766D,0.63106525376464,0.653482880755608,FC.Mariano Rivera,1,1
#F8766D,0.625488008923592,0.665289256198347,FF.Mariano Rivera,1,2
#F8766D,0.603179029559397,0.706611570247934,FC.Mariano Rivera,1,1
#00BFC4,0.63106525376464,0.505903187721369,FF.Phil Hughes,1,4
#00BFC4,0.653374233128834,0.529515938606848,FF.Phil Hughes,1,4
#00BFC4,0.714723926380368,0.688902007083825,FF.Phil Hughes,1,4
#00BFC4,0.21834913552705,0.269775678866588,FC.Phil Hughes,1,3
#00BFC4,0.686837702175125,0.653482880755608,FF.Phil Hughes,1,4
#00BFC4,0.207194645844953,0.204840613931523,FC.Phil Hughes,1,3
#00BFC4,0.658951477969883,0.606257378984652,FF.Phil Hughes,1,4
#00BFC4,0.681260457334077,0.570838252656435,FF.Phil Hughes,1,4
#00BFC4,0.447016174010039,0.405548996458088,FC.Phil Hughes,1,3
#00BFC4,0.374511991076408,0.269775678866588,FC.Phil Hughes,1,3
#00BFC4,0.692414947016174,0.582644628099174,FF.Phil Hughes,1,4
#00BFC4,0.681260457334077,0.665289256198347,FF.Phil Hughes,1,4
#00BFC4,0.720301171221417,0.653482880755608,FF.Phil Hughes,1,4
#00BFC4,0.201617401003904,0.287485242030697,FC.Phil Hughes,1,3
#00BFC4,0.402398215281651,0.417355371900826,FC.Phil Hughes,1,3
#00BFC4,0.731455660903514,0.653482880755608,FF.Phil Hughes,1,4
#00BFC4,0.74261015058561,0.742030696576151,FF.Phil Hughes,1,4
#00BFC4,0.424707194645845,0.5,FC.Phil Hughes,1,3
#00BFC4,0.725878416062465,0.706611570247934,FF.Phil Hughes,1,4
#00BFC4,0.625488008923592,0.505903187721369,FF.Phil Hughes,1,4
#00BFC4,0.619910764082544,0.582644628099174,FF.Phil Hughes,1,4
#00BFC4,0.318739542665923,0.352420306965761,FC.Phil Hughes,1,3
#00BFC4,0.608756274400446,0.553128689492326,FF.Phil Hughes,1,4
#00BFC4,0.63106525376464,0.535419126328217,FF.Phil Hughes,1,4
#00BFC4,0.385666480758506,0.440968122786305,FC.Phil Hughes,1,3
#00BFC4,0.703569436698271,0.62396694214876,FF.Phil Hughes,1,4
#00BFC4,0.580870050195204,0.594451003541912,FF.Phil Hughes,1,4
#00BFC4,0.363357501394311,0.37012987012987,FC.Phil Hughes,1,3
#00BFC4,0.614333519241494,0.653482880755608,FF.Phil Hughes,1,4
#00BFC4,0.63106525376464,0.612160566706022,FF.Phil Hughes,1,4
#00BFC4,0.608756274400446,0.511806375442739,FF.Phil Hughes,1,4
#00BFC4,0.675683212493029,0.635773317591499,FF.Phil Hughes,1,4
#00BFC4,0.608756274400446,0.635773317591499,FF.Phil Hughes,1,4
#00BFC4,0.636642498605689,0.641676505312869,FF.Phil Hughes,1,4
#00BFC4,0.692414947016174,0.682998819362455,FF.Phil Hughes,1,4
#00BFC4,0.592024539877301,0.470484061393152,FF.Phil Hughes,1,4
#00BFC4,0.619910764082544,0.482290436835892,FF.Phil Hughes,1,4
#00BFC4,0.14026770775237,0.0985832349468714,FC.Phil Hughes,1,3
#00BFC4,0.307585052983826,0.334710743801653,FC.Phil Hughes,1,3
#00BFC4,0.625488008923592,0.576741440377804,FF.Phil Hughes,1,4
#00BFC4,0.296430563301729,0.293388429752066,FC.Phil Hughes,1,3
#00BFC4,0.653374233128834,0.671192443919717,FF.Phil Hughes,1,4
#00BFC4,0.307585052983826,0.340613931523022,FC.Phil Hughes,1,3
#00BFC4,0.580870050195204,0.600354191263282,FF.Phil Hughes,1,4
#00BFC4,0.664528722810931,0.600354191263282,FF.Phil Hughes,1,4
#00BFC4,0.63106525376464,0.588547815820543,FF.Phil Hughes,1,4
#00BFC4,0.274121583937535,0.252066115702479,FC.Phil Hughes,1,3
#00BFC4,0.536252091466816,0.553128689492326,FF.Phil Hughes,1,4
#00BFC4,0.586447295036252,0.553128689492326,FF.Phil Hughes,1,4
#00BFC4,0.374511991076408,0.411452184179457,FC.Phil Hughes,1,3
#00BFC4,0.346625766871166,0.346517119244392,FC.Phil Hughes,1,3
#00BFC4,0.625488008923592,0.564935064935065,FF.Phil Hughes,1,4
#00BFC4,0.391243725599554,0.381936245572609,FC.Phil Hughes,1,3
#00BFC4,0.619910764082544,0.564935064935065,FF.Phil Hughes,1,4
#00BFC4,0.424707194645845,0.464580873671783,FC.Phil Hughes,1,3
#00BFC4,0.558561070831009,0.553128689492326,FF.Phil Hughes,1,4
#00BFC4,0.341048522030117,0.352420306965761,FC.Phil Hughes,1,3
#00BFC4,0.586447295036252,0.505903187721369,FF.Phil Hughes,1,4
#00BFC4,0.324316787506971,0.393742621015348,FC.Phil Hughes,1,3
#00BFC4,0.597601784718349,0.564935064935065,FF.Phil Hughes,1,4
#00BFC4,0.313162297824875,0.37012987012987,FC.Phil Hughes,1,3
#00BFC4,0.190462911321807,0.193034238488784,FC.Phil Hughes,1,3
