fill,x,y,clickSelects,PANEL,group,ymin,ymax,xmin,xmax
#F8766D,0.170454545454545,0.91014255667212,FC.Mariano Rivera,1,1,0.0454545454545455,0.91014255667212,0.0681818181818182,0.272727272727273
#00BFC4,0.375,0.258121056321571,FC.Phil Hughes,1,2,0.0454545454545455,0.258121056321571,0.272727272727273,0.477272727272727
#F8766D,0.625,0.155293292825427,FF.Mariano Rivera,1,3,0.0454545454545455,0.155293292825427,0.522727272727273,0.727272727272727
#00BFC4,0.829545454545455,0.954545454545455,FF.Phil Hughes,1,4,0.0454545454545455,0.954545454545455,0.727272727272727,0.931818181818182
